year,month,peak,gain,price,steam_online
2022,12,827395,-55139.00,0,909421602
2022,11,990057,67381.00,0,852068535
2022,10,1038848,-34422.00,0,849997689
2022,9,867484,22258.00,0,798181709
2022,8,747231,23872.00,0,804512345
2022,7,684842,-13549.00,0,806821513
2022,6,699592,11226.00,0,796942903
2022,5,691586,-4909.00,0,814688015
2022,4,730168,3103.00,0,811476339
2022,3,740784,-1476.00,0,842232292
2022,2,725851,-35591.00,0,773919662
2022,1,786118,36494.00,0,841556186
2021,12,756170,436.00,0,790841123
2021,11,747506,-1900.00,0,746857217
2021,10,752482,59679.00,0,761030927
2021,9,666838,-33898.00,0,712688157
2021,8,699613,1824.00,0,742779745
2021,7,707406,1646.00,0,728164057
2021,6,734277,6365.00,0,725029145
2021,5,672307,1360.00,0,763354617
2021,4,705534,23372.00,0,764329312
2021,3,648875,-14419.00,0,795249278
2021,2,651615,-27839.00,0,710744828
2021,1,694613,10119.00,0,764912073
2020,12,697833,-3352.52,0,742721118
2020,11,711824,19543.48,0,676323499
2020,10,723280,-2248.43,0,677821596
2020,9,670547,-21107.34,0,630276320
2020,8,666138,-20496.87,0,617654552
2020,7,712610,-6970.43,0,614835056
2020,6,733294,-27004.60,0,617667675
2020,5,793135,-9111.25,0,690919844
2020,4,801121,56152.91,0,707770424
2020,3,743933,31168.71,0,614637525
2020,2,663812,27053.22,0,494362025
2020,1,616415,-5254.32,0,504227760
2019,12,685165,-17752.05,0,489960904
2019,11,708517,13575.94,0,444037585
2019,10,739924,-33615.38,0,458972530
2019,9,753996,-45177.05,0,443916276
2019,8,826690,2360.67,0,462667163
2019,7,779160,-42740.82,0,468667503
2019,6,865374,-40994.74,0,459967446
2019,5,997341,28304.20,0,475503683
2019,4,971545,-66286.87,0,459882969
2019,3,1033925,21596.18,0,475948889
2019,2,964921,89162.67,0,434108199
2019,1,874888,36379.17,0,487744486
2018,12,765422,-21705.66,0,479130101
2018,11,826053,29899.57,0,435691109
2018,10,739643,-35296.83,0,450878274
2018,9,826166,-9630.34,0,444109147
2018,8,829281,34386.73,0,452335748
2018,7,701582,-32185.65,0,461230198
2018,6,796886,-425.87,0,465287550
2018,5,844713,43984.93,0,474049371
2018,4,733214,-6921.40,0,474062020
2018,3,773897,-1585.37,0,510031006
2018,2,779299,-48014.20,0,371090512
2018,1,778627,-26212.42,0,522357795
2017,12,864939,25693.09,0,503638824
2017,11,861173,21254.45,0,456531797
2017,10,832550,-25323.37,0,461639493
2017,9,829555,-65046.14,0,413855215
2017,8,876395,58051.92,0,402100933
2017,7,824297,-56844.70,0,397350674
2017,6,923122,-12237.35,0,384667873
2017,5,972876,27248.39,0,384904645
2017,4,921318,-8157.41,0,372738458
2017,3,956232,-43131.81,0,355283156
2017,2,1040877,11285.78,0,355481565
2017,1,1007451,-13639.13,0,403770973
2016,12,1014671,9669.27,0,388609680
2016,11,1007270,-55103.82,0,364127062
2016,10,1141191,16771.24,0,362204081
2016,9,1064377,-43429.15,0,338136102
2016,8,1117519,27800.40,0,339754591
2016,7,1084198,-2014.33,0,346363534
2016,6,1095994,16428.30,0,342460460
2016,5,1075307,-33145.70,0,349085617
2016,4,1164041,-15610.52,0,347096278
2016,3,1291328,-36623.36,0,351943255
2016,2,1248394,97003.48,0,332474919
2016,1,1067949,38830.53,0,354205980
2015,12,999452,33807.92,0,319799868
2015,11,943635,17594.62,0,312287411
2015,10,917306,13784.86,0,306848246
2015,9,888728,-98787.12,0,285319406
2015,8,933942,51952.97,0,280723676
2015,7,877264,-13457.32,0,274316327
2015,6,913997,-11900.10,0,275398132
2015,5,967674,54286.70,0,268017435
2015,4,929677,-45651.42,0,256307044
2015,3,1213940,-57257.26,0,260193756
2015,2,1262612,70466.07,0,224509605
2015,1,961737,34564.01,0,248142190
2014,12,936583,-4849.48,0,229914135
2014,11,963810,33096.77,0,212894074
2014,10,880655,17694.59,0,216669754
2014,9,864261,-12885.44,0,202281291
2014,8,774319,-46134.77,0,202543340
2014,7,874975,23235.60,0,209067723
2014,6,833145,31395.81,0,207131104
2014,5,843024,60677.03,0,200047568
2014,4,734998,11954.66,0,191717596
2014,3,698197,-11358.65,0,203940245
2014,2,738682,27253.88,0,187047218
2014,1,673496,27253.83,0,215374048
2013,12,685503,18360.12,0,210575680
2013,11,702792,18568.73,0,192019520
2013,10,581615,17252.88,0,187793453
2013,9,566715,-18295.30,0,180492592
2013,8,520532,92919.98,0,163625706
2013,7,422617,27575.26,0,159243497
2013,6,326160,15860.98,0,147325090
2013,5,325815,19528.11,0,152520560
2013,4,299667,-6043.17,0,150894913
2013,3,325598,13905.93,0,159335892
2013,2,283870,19224.82,0,156301691
2013,1,260989,25823.72,0,189534301