year,month,avg_price
2022,12,0
2022,11,0
2022,10,0
2022,9,0
2022,8,0
2022,7,0
2022,6,0
2022,5,0
2022,4,0
2022,3,0
2022,2,0
2022,1,0
2021,12,0
2021,11,0
2021,10,0
2021,9,0
2021,8,0
2021,7,0
2021,6,0
2021,5,0
2021,4,0
2021,3,0
2021,2,0
2021,1,0
2020,12,0
2020,11,0
2020,10,0
2020,9,0
2020,8,0
2020,7,0
2020,6,0
2020,5,0
2020,4,0
2020,3,0
2020,2,0
2020,1,0
2019,12,0
2019,11,0
2019,10,0
2019,9,0
2019,8,0
2019,7,0
2019,6,0
2019,5,0
2019,4,0
2019,3,0
2019,2,0
2019,1,0
2018,12,0
2018,11,1368
2018,10,1520
2018,9,1520
2018,8,1520
2018,7,1372
2018,6,1292
2018,5,1520
2018,4,1508
2018,3,1480
2018,2,1374
2018,1,1384
2017,12,1274
2017,11,1382
2017,10,1480
2017,9,1480
2017,8,1480
2017,7,1369
2017,6,1333
2017,5,1480
2017,4,1480
2017,3,1480
2017,2,1480
2017,1,1416
2016,12,1306
2016,11,1365
2016,10,1480
2016,9,1480
2016,8,1480
2016,7,1360
2016,6,1282
2016,5,1480
2016,4,1480
2016,3,1480
2016,2,1295
2016,1,1360
2015,12,1193
2015,11,1332
2015,10,1480
2015,9,1480
2015,8,1336
2015,7,1480
2015,6,1208
2015,5,1480
2015,4,1480
2015,3,1360
2015,2,1480
2015,1,1408
2014,12,1219
2014,11,115
2014,10,0
2014,9,0
2014,8,0
2014,7,0
2014,6,0
2014,5,0
2014,4,0
2014,3,0
2014,2,0
2014,1,0
2013,12,0
2013,11,0
2013,10,0
2013,9,0
2013,8,0
2013,7,0
2013,6,0
2013,5,0
2013,4,0
2013,3,0
2013,2,0
2013,1,0